Animal #,Species,Primary Breed,Secondary Breed,Gender,Altered,Age in Months Intake,Age Group,Intake Condition,Intake Date,Intake Type,Intake Subtype,Reason,Agency Name,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome Reason,Outcome_Agency_Name
A01455447,Cat,Domestic Shorthair,Mix,F,Yes,168.0,Senior,Normal,9/28/2020 3:04 PM,Clinic,Vaccinations,,,9/28/2020 3:09 PM,9/28/2020 3:09 PM,Clinic Out,Vaccinations,,
A01659344,Cat,Domestic Shorthair,Mix,F,Yes,181.0,Adult,Normal,2/26/2020 4:01 PM,Return,Euthanasia Owner Request,Time - Not Enough,,2/26/2020 6:57 PM,2/26/2020 6:57 PM,Return to Owner/Guardian,Owner Reclaim,,
A03782084,Cat,Domestic Shorthair,Mix,F,Yes,153.0,Senior,Normal,5/15/2020 10:10 AM,Return,Beyond Exchange Period,Other,,9/26/2020 5:23 PM,,Died,Ill,,
A04725465,Dog,Finnish Spitz,Chow Chow,F,Yes,155.0,Young,Normal,7/30/2020 11:35 AM,Return,Beyond Exchange Period,Other,,8/1/2020 11:31 AM,8/1/2020 11:31 AM,Return to Owner/Guardian,Owner Reclaim,,
A22734462,Dog,German Shepherd,American Blue Heeler,M,Yes,79.0,Adult,Normal,5/29/2020 12:00 PM,Return,Beyond Exchange Period,Death of Owner,,5/29/2020 12:03 PM,5/29/2020 12:03 PM,Adoption,Adoption Center,,
A31878020,Dog,Boxer,"Retriever, Labrador",F,Yes,79.0,Adult,Normal,1/2/2020 2:48 PM,Return,Beyond Exchange Period,Other,,1/2/2020 2:51 PM,1/2/2020 2:51 PM,Return to Owner/Guardian,Owner Reclaim,,
A31878020,Dog,Boxer,"Retriever, Labrador",F,Yes,85.0,Adult,Normal,7/10/2020 8:40 AM,Clinic,Vaccinations,,,7/10/2020 8:42 AM,7/10/2020 8:42 AM,Clinic Out,Vaccinations,,
A31878020,Dog,Boxer,"Retriever, Labrador",F,Yes,85.0,Adult,Normal,7/10/2020 8:44 AM,Clinic,Vaccinations,,,7/10/2020 8:47 AM,7/10/2020 8:47 AM,Clinic Out,Vaccinations,,
A31935705,Dog,Shetland Sheepdog,Chow Chow,M,Yes,142.0,Adult,Normal,1/31/2020 8:06 AM,Return,Beyond Exchange Period,Behavior Problem,,1/31/2020 2:20 PM,,Euthanasia,Owner Request,,
A44400377,Cat,Manx,Mix,M,Yes,2.0,Baby,Normal,5/28/2020 2:12 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,10/24/2020 4:35 PM,10/24/2020 4:35 PM,Adoption,Adoption Center,,
