,Found_Address,Found_Zip_Code,clean_found_address,found_geocode,found_lat,found_long
5,703 Sunset Dr,54981,703 Sunset Dr  54981,"703, Sunset Drive, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.367878,-89.098879
39,W Fulton St,54981,W Fulton St  54981,"West Fulton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.356045,-89.11787
71,High st,54981,High st  54981,"High Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3531242,-89.0898343
86,High St and Lakeside Parkway,54981,High St and Lakeside Parkway  54981,"Lakeside Parkway, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.344615,-89.095337
87,High St and Lakeside Parkway,54981,High St and Lakeside Parkway  54981,"Lakeside Parkway, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.344615,-89.095337
88,215 E Main St,54981,215 E Main St  54981,"Main Street, Rural, Town of Dayton, Waupaca County, Wisconsin, 54981, United States",44.312728,-89.153077
107,602 S Washington St,54981,602 S Washington St  54981,"602, South Washington Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35159314285714,-89.0862381632653
113,510 Mill St,54981,510 Mill St  54981,"Mill Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.360156,-89.084305
114,709 Wesley St,54981,709 Wesley St  54981,"709, Wesley Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.365568775510205,-89.08634175510204
130,city waupaca,54981,city waupaca  54981,"Town of Farmington, Waupaca County, Wisconsin, 54981, United States",44.33231290812752,-89.11891459996863
147,641 Holbeck St,54981,641 Holbeck St  54981,"641, Holbeck Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3646,-89.084261
148,400 S Western Ave,54981,400 S Western Ave  54981,"400, South Western Avenue, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35291525,-89.103074375
149,Western Ave,54981,Western Ave  54981,"North Western Avenue, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3582549,-89.1031605
152,510 North St.,54981,510 North St.  54981,"510, North Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.361177094365196,-89.09308485205248
171,Erickson Rd,54981,Erickson Rd  54981,"Erickson Road, Town of Farmington, Waupaca County, Wisconsin, 54981, United States",44.362618,-89.160198
174,503 S Main St,54981,503 S Main St  54981,"503, South Main Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35263715242151,-89.08477881196586
175,503 S Main St,54981,503 S Main St  54981,"503, South Main Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35263715242151,-89.08477881196586
189,East Main St,54981,East Main St  54981,"Main Street, Rural, Town of Dayton, Waupaca County, Wisconsin, 54981, United States",44.312728,-89.153077
206,1161 Depot St,54949,1161 Depot St  54949,"1161, Depot Street, Manawa, Town of Little Wolf, Waupaca County, Wisconsin, 54949, United States",44.450867333333335,-88.9272790909091
207,510 River St,54981,510 River St  54981,"510, River Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3629732071676,-89.09311466642804
211,310 High St,54981,310 High St  54981,"310, High Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35235086323881,-89.08967089604342
240,927 Churchill St,54981,927 Churchill St  54981,"927, Churchill Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.34772121815918,-89.07199701576089
242,615 S. Main St.,54981,615 S. Main St.  54981,"615, South Main Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.351660681990644,-89.08505694554786
243,615 S Main St,54981,615 S Main St  54981,"615, South Main Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.351660681990644,-89.08505694554786
244,Berlin and Lake St,54981,Berlin and Lake St  54981,"Berlin Street, Waupaca, Town of Waupaca, Waupaca County, Wisconsin, 54981, United States",44.345937,-89.080899
245,Tower Mobil,54981,Tower Mobil  54981,"Mobil, Royalton Street, Town of Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3522139,-89.0575759
265,205 W Badger,54981,205 W Badger  54981,"205, East Badger Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.356076,-89.0825843877551
273,600 Oak St,54981,600 Oak St  54981,"600, Oak Street, Waupaca, Town of Waupaca, Waupaca County, Wisconsin, 54981, United States",44.36317888957501,-89.0774152354929
294,510 Mill St,54981,510 Mill St  54981,"Mill Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.360156,-89.084305
300,105 Crestview,54981,105 Crestview  54981,"105, Crestview Lane, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.367581141109476,-89.08604539389472
304,526 Hillcrest Drive,54981,526 Hillcrest Drive  54981,"526, Hillcrest Drive, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.360041098069736,-89.09291514567654
305,420 Center St,54981,420 Center St  54981,"420, Center Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35932709090909,-89.08952809090908
318,712 Bartlett St,54981,712 Bartlett St  54981,"712, Bartlett Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.359917571428575,-89.07603687755102
323,1092 W Fulton,54981,1092 W Fulton  54981,"Taco Bell, 1092, West Fulton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35743685,-89.1131257206949
327,501 S. State St.,54981,501 S. State St.  54981,"501, South State Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.352658,-89.081009
329,109 N State St,54981,109 N State St  54981,"109, North State Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35815706159114,-89.08124933534731
330,109 N State St,54981,109 N State St  54981,"109, North State Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35815706159114,-89.08124933534731
331,109 N State St,54981,109 N State St  54981,"109, North State Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35815706159114,-89.08124933534731
332,109 N State St,54981,109 N State St  54981,"109, North State Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35815706159114,-89.08124933534731
333,South Park,54981,South Park  54981,"South Park, Waupaca, Waupaca County, Wisconsin, United States",44.3482615,-89.08547264744995
337,1020 9th St,54981,1020 9th St  54981,"1020, 9th Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.346740469387754,-89.0752812244898
350,side of road wild rose,54961,side of road wild rose  54961,"Wild Rose Idlewild Airport, Apache Road, Wild Rose, Town of Springwater, Waushara County, Wisconsin, 54984, United States",44.1977554,-89.2178948
351,211 1/2 N Division St,54981,211 1/2 N Division St  54981,"211, North Division Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.359016907734556,-89.08253910545255
353,205 West Badger St.,54981,205 West Badger St.  54981,"205, West Badger Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35593333508213,-89.08636257182081
354,220 E Union St - Waupaca Hotel,54981,220 E Union St - Waupaca Hotel  54981,"220, East Union Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35701236734694,-89.08274942857143
355,404 S Main St,54981,404 S Main St  54981,"404, South Main Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35407383333334,-89.08498183333333
356,404 S Main St,54981,404 S Main St  54981,"404, South Main Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35407383333334,-89.08498183333333
357,1040 Cty Rd QQ,54981,1040 Cty Rd QQ  54981,"County Road QQ, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.356116,-89.118263
