Animal #,Species,Primary Breed,Secondary Breed,Gender,Altered,Age in Months Intake,Age Group,Intake Condition,Intake Date,Intake Type,Intake Subtype,Reason,Agency Name,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome Reason,Outcome_Agency_Name
A38478589,Cat,Domestic Shorthair,Mix,F,Yes,24.0,Adult,Normal,5/4/2018 4:44 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,8/8/2018 2:02 PM,8/8/2018 2:02 PM,Adoption,Adoption Center,,
A38485565,Cat,Domestic Shorthair,Mix,F,No,24.0,Adult,Normal,5/5/2018 5:32 PM,Owner/Guardian Surrender,For Adoption,Time - Not Enough,,5/22/2018 2:21 PM,,Euthanasia,Temperment,,
A38485698,Dog,American Blue Heeler,Mix,M,Yes,1.0,Baby,Injured,5/5/2018 6:06 PM,Owner/Guardian Surrender,For Adoption,Other,,6/8/2018 1:28 PM,6/8/2018 1:28 PM,Adoption,Adoption Center,,
A38485738,Dog,American Blue Heeler,Mix,M,Yes,1.0,Baby,Normal,5/5/2018 6:17 PM,Owner/Guardian Surrender,For Adoption,Other,,6/4/2018 12:47 PM,6/4/2018 12:47 PM,Adoption,Adoption Center,,
A38548723,Dog,Basset Hound,Mix,M,No,,Adult,Normal,5/12/2018 5:47 PM,Stray,ACO / Police Drop Off,,,5/14/2018 1:15 PM,5/14/2018 1:15 PM,Return to Owner/Guardian,Stray Reclaim,,
A38548723,Dog,Basset Hound,Mix,M,No,,Adult,Normal,11/21/2018 1:06 PM,Stray,ACO / Police Drop Off,,,11/24/2018 1:25 PM,11/24/2018 1:25 PM,Return to Owner/Guardian,Stray Reclaim,,
A38551287,Cat,Domestic Shorthair,Mix,M,Yes,0.0,Baby,Unweaned,5/13/2018 1:55 PM,Stray,Born in Care,,,7/29/2018 1:45 PM,7/29/2018 1:45 PM,Transfer Out,For Adoption,For Adoption,Orphan Animal Rescue - OARS
A38551290,Cat,Domestic Shorthair,Mix,F,Yes,0.0,Baby,Unweaned,5/13/2018 1:55 PM,Stray,Born in Care,,,7/29/2018 1:45 PM,7/29/2018 1:45 PM,Transfer Out,For Adoption,For Adoption,Orphan Animal Rescue - OARS
A38551293,Cat,Domestic Shorthair,Mix,F,Yes,0.0,Baby,Unweaned,5/13/2018 1:55 PM,Stray,Born in Care,,,7/29/2018 1:45 PM,7/29/2018 1:45 PM,Transfer Out,For Adoption,For Adoption,Orphan Animal Rescue - OARS
A38551306,Cat,Domestic Shorthair,Mix,M,Yes,0.0,Baby,Unweaned,5/13/2018 1:55 PM,Stray,Born in Care,,,7/29/2018 1:45 PM,7/29/2018 1:45 PM,Transfer Out,For Adoption,For Adoption,Orphan Animal Rescue - OARS
A38551309,Cat,Domestic Shorthair,Mix,M,No,0.0,Baby,Unweaned,5/13/2018 1:55 PM,Stray,Born in Care,,,6/20/2018 7:27 PM,,Euthanasia,Congenital Defect,,
A38551334,Cat,Domestic Shorthair,Mix,F,Yes,11.0,Young,Pregnant,5/13/2018 2:04 PM,Stray,Public Drop Off,,,11/3/2018 2:16 PM,11/3/2018 2:16 PM,Adoption,Adoption Center,,
A38551402,Dog,"Terrier, Jack Russell",Pug,M,Yes,36.0,Adult,Normal,5/13/2018 2:13 PM,Owner/Guardian Surrender,For Adoption,Other,,6/8/2018 4:12 PM,6/8/2018 4:12 PM,Adoption,Adoption Center,,
A38551411,Dog,American Blue Heeler,Mix,M,Yes,36.0,Adult,Fearful,5/13/2018 2:13 PM,Owner/Guardian Surrender,For Adoption,Other,,6/13/2018 6:40 PM,6/13/2018 6:40 PM,Adoption,Adoption Center,,
A38566001,Cat,Domestic Shorthair,Mix,M,Yes,7.0,Adult,Normal,5/14/2018 11:40 AM,Stray,Public Drop Off,,,8/20/2018 12:08 PM,8/20/2018 12:08 PM,Adoption,Adoption Center,,
A38566001,Cat,Domestic Shorthair,Mix,M,Yes,11.0,Adult,Normal,9/10/2018 1:01 PM,Return,Within Exchange Period,Child's Pet/Don't want,,9/27/2020 3:32 PM,9/27/2020 3:32 PM,Adoption,Adoption Center,,
A38566057,Cat,Domestic Longhair,Mix,F,Yes,36.0,Adult,Normal,5/15/2018 11:43 AM,Owner/Guardian Surrender,For Evaluation,Health Issues of cat,,8/27/2018 2:32 PM,8/27/2018 2:32 PM,Transfer Out,For Adoption,For Adoption,"Langlade County Humane Society, Inc."
A38600524,Cat,Domestic Shorthair,Mix,M,No,,Young,Normal,5/18/2018 2:02 PM,Stray,ACO / Police Drop Off,,,5/19/2018 1:41 PM,5/19/2018 1:41 PM,Return to Owner/Guardian,Stray Reclaim,,
A38608480,Dog,Shih Tzu,Mix,F,No,,Adult,Normal,5/19/2018 1:45 PM,Stray,ACO / Police Drop Off,,,5/21/2018 11:52 AM,5/21/2018 11:52 AM,Return to Owner/Guardian,Stray Reclaim,,
A38608940,Cat,Domestic Shorthair,Mix,M,Yes,9.0,Young,Normal,5/19/2018 2:21 PM,Owner/Guardian Surrender,For Adoption,Birth of Baby (human),,2/9/2019 4:53 PM,2/9/2019 4:53 PM,Adoption,Adoption Center,,
A38622342,Dog,Beagle,Mix,F,Yes,92.0,Adult,Normal,5/21/2018 3:27 PM,Owner/Guardian Surrender,For Adoption,Other,,6/30/2018 12:28 PM,6/30/2018 12:28 PM,Adoption,Adoption Center,,
A38622361,Dog,Beagle,Mix,F,Yes,92.0,Adult,Normal,5/21/2018 3:27 PM,Owner/Guardian Surrender,For Adoption,Other,,7/7/2018 12:44 PM,7/7/2018 12:44 PM,Adoption,Adoption Center,,
A38628581,Cat,Domestic Shorthair,Mix,M,Yes,6.0,Adult,Normal,5/22/2018 11:42 AM,Stray,ACO / Police Drop Off,,,6/23/2018 3:10 PM,6/23/2018 3:10 PM,Adoption,Adoption Center,,
A38673516,Dog,"Welsh Corgi, Cardigan",Mix,M,Yes,4.0,Young,Normal,5/26/2018 2:03 PM,Owner/Guardian Surrender,For Adoption,Found/Can't Keep,,6/29/2018 2:11 PM,6/29/2018 2:11 PM,Adoption,Adoption Center,,
A38673539,Dog,"Terrier, Rat","Chihuahua, Short Coat",F,Yes,24.0,Adult,Normal,5/26/2018 2:03 PM,Owner/Guardian Surrender,For Adoption,Found/Can't Keep,,8/28/2018 2:06 PM,8/28/2018 2:06 PM,Adoption,Adoption Center,,
A38673548,Dog,"Terrier, Rat","Chihuahua, Short Coat",F,Yes,1.0,Young,Normal,5/26/2018 2:03 PM,Owner/Guardian Surrender,For Adoption,Found/Can't Keep,,7/8/2018 12:25 PM,7/8/2018 12:25 PM,Adoption,Adoption Center,,
A38673558,Dog,"Terrier, Rat","Chihuahua, Short Coat",F,Yes,1.0,Young,Normal,5/26/2018 2:03 PM,Owner/Guardian Surrender,For Adoption,Found/Can't Keep,,7/13/2018 6:12 PM,7/13/2018 6:12 PM,Adoption,Adoption Center,,
A38673570,Dog,"Terrier, Rat","Chihuahua, Short Coat",M,Yes,1.0,Young,Normal,5/26/2018 2:03 PM,Owner/Guardian Surrender,For Adoption,Found/Can't Keep,,7/8/2018 11:13 AM,7/8/2018 11:13 AM,Adoption,Adoption Center,,
A38686237,Cat,Domestic Medium Hair,Mix,M,Yes,1.0,Baby,Normal,5/29/2018 10:59 AM,Owner/Guardian Surrender,For Adoption,Other,,11/28/2018 6:53 PM,11/28/2018 6:53 PM,Adoption,Adoption Center,,
