Animal #,Species,Primary Breed,Secondary Breed,Gender,Altered,Age in Months Intake,Age Group,Intake Condition,Intake Date,Intake Type,Intake Subtype,Reason,Agency Name,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome Reason,Outcome_Agency_Name
A01455447,Cat,Domestic Shorthair,Mix,F,Yes,155.0,Senior,Normal,9/7/2019 2:35 PM,Owner/Guardian Surrender,Returned Adoption,Health Issues/Human,,12/27/2019 4:30 PM,12/27/2019 4:30 PM,Adoption,Adoption Center,,
A03782084,Cat,Domestic Shorthair,Mix,F,Yes,144.0,Baby,Normal,8/16/2019 4:01 PM,Return,Beyond Exchange Period,Moving,,2/16/2020 12:10 PM,2/16/2020 12:10 PM,Adoption,Adoption Center,,
A05338330,Cat,Domestic Shorthair,Mix,M,Yes,138.0,Baby,Normal,12/5/2019 2:30 PM,Return,Beyond Exchange Period,Death of Owner,,12/5/2019 2:32 PM,12/5/2019 2:32 PM,Adoption,Adoption Center,,
A08323387,Cat,Domestic Shorthair,Mix,F,Yes,122.0,Adult,Normal,2/28/2019 12:35 PM,Return,Within Exchange Period,Behavior Problem,,10/20/2019 12:32 PM,10/20/2019 12:32 PM,Transfer Out,For Adoption,For Adoption,Portage County Humane Society
A09523098,Dog,"Retriever, Labrador",Mix,F,Yes,111.0,Baby,Normal,1/5/2019 12:25 PM,Clinic,Microchip,,,1/5/2019 12:27 PM,1/5/2019 12:27 PM,Clinic Out,Microchip,,
A14223455,Dog,Pug,Mix,M,Yes,99.0,Baby,Normal,12/10/2019 1:58 PM,Stray,ACO / Police Drop Off,,,12/11/2019 2:19 PM,12/11/2019 2:19 PM,Return to Owner/Guardian,Stray Reclaim,,
A15029754,Cat,Domestic Medium Hair,Mix,M,Yes,92.0,Adult,Normal,8/8/2019 1:11 PM,Return,Within Exchange Period,Allergies,,4/2/2020 10:39 AM,4/2/2020 10:39 AM,Adoption,Adoption Center,,
A15086980,Dog,Miniature Pinscher,"Spaniel, American Cocker",M,Yes,94.0,Baby,Normal,11/10/2019 10:54 AM,Return,Beyond Exchange Period,Moving,,1/8/2020 4:48 PM,1/8/2020 4:48 PM,Adoption,Adoption Center,,
A20495009,Cat,Domestic Shorthair,Mix,M,Yes,70.0,Young,Normal,4/5/2019 1:51 PM,Return,Beyond Exchange Period,Time - Not Enough,,6/15/2019 1:39 PM,,Died,Unknown,,
A21791458,Cat,Domestic Shorthair,Mix,M,Yes,86.0,Adult,Normal,3/27/2019 3:20 PM,Return,Beyond Exchange Period,Other,,3/27/2019 3:24 PM,3/27/2019 3:24 PM,Adoption,Adoption Center,,
A22734462,Dog,German Shepherd,American Blue Heeler,M,Yes,65.0,Adult,Normal,3/14/2019 11:28 AM,Return,Beyond Exchange Period,Aggression/Bite,,4/27/2019 4:45 PM,4/27/2019 4:45 PM,Adoption,Adoption Center,,
A22734462,Dog,German Shepherd,American Blue Heeler,M,Yes,69.0,Adult,Normal,7/5/2019 3:53 PM,Return,Beyond Exchange Period,Time - Not Enough,,12/16/2019 1:01 PM,12/16/2019 1:01 PM,Adoption,Adoption Center,,
A22879587,Cat,Domestic Shorthair,Mix,F,Yes,56.0,Baby,Normal,1/25/2019 5:47 PM,Return,Beyond Exchange Period,Moving,,3/11/2019 2:10 PM,3/11/2019 2:10 PM,Adoption,Adoption Center,,
A23465989,Cat,Domestic Shorthair,Mix,F,Yes,69.0,Young,Normal,11/4/2019 12:13 PM,Owner/Guardian Surrender,For Adoption,Litterbox Issues,,12/4/2020 3:05 PM,12/4/2020 3:05 PM,Return to Owner/Guardian,Owner Reclaim,,
A28542739,Cat,Domestic Shorthair,Mix,F,Yes,53.0,Adult,Normal,10/24/2019 2:54 PM,Clinic,Vaccinations,,,10/24/2019 2:59 PM,10/24/2019 2:59 PM,Clinic Out,Vaccinations,,
A29297083,Cat,Domestic Shorthair,Mix,F,Yes,53.0,Adult,Normal,10/24/2019 3:01 PM,Clinic,Vaccinations,,,10/24/2019 3:08 PM,10/24/2019 3:08 PM,Clinic Out,Vaccinations,,
A29694916,Cat,Domestic Shorthair,Mix,M,Yes,49.0,Adult,Normal,4/3/2019 5:11 PM,Return,Beyond Exchange Period,Behavior Problem,,5/22/2019 2:44 PM,5/22/2019 2:44 PM,Adoption,Adoption Center,,
A29694916,Cat,Domestic Shorthair,Mix,M,Yes,51.0,Adult,Normal,5/29/2019 5:52 PM,Return,Within Exchange Period,Other,,8/16/2019 6:05 PM,8/16/2019 6:05 PM,Adoption,Adoption Center,,
A29984685,Cat,Domestic Shorthair,Mix,M,Yes,50.0,Young,Normal,11/14/2019 11:51 AM,Return,Beyond Exchange Period,Other,,12/4/2019 6:01 PM,12/4/2019 6:01 PM,Return to Owner/Guardian,Owner Reclaim,,
A30028462,Cat,Domestic Medium Hair,Mix,M,Yes,50.0,Young,Normal,11/14/2019 11:51 AM,Return,Beyond Exchange Period,Other,,12/4/2019 6:49 PM,12/4/2019 6:49 PM,Return to Owner/Guardian,Owner Reclaim,,
A31352698,Dog,Lhasa Apso,Mix,M,Yes,100.0,Adult,Normal,3/15/2019 10:10 AM,Return,Beyond Exchange Period,Behavior Problem,,6/26/2020 9:00 AM,6/26/2020 9:00 AM,Adoption,Adoption Center,,
A34428381,Dog,American Blue Heeler,"Terrier, Rat",M,Yes,29.0,Baby,Normal,5/15/2019 6:00 PM,Return,Beyond Exchange Period,Behavior Problem,,5/15/2019 10:01 PM,,Euthanasia,Temperment,,
A34781129,Dog,Maltese,Mix,F,Yes,82.0,Adult,Normal,2/8/2019 7:34 PM,Return,Beyond Exchange Period,Other,,2/8/2019 7:36 PM,2/8/2019 7:36 PM,Return to Owner/Guardian,Owner Reclaim,,
A36080722,Dog,American Blue Heeler,Mix,F,Yes,26.0,Young,Normal,6/20/2019 1:47 PM,Return,Beyond Exchange Period,Other,,8/5/2019 1:14 PM,8/5/2019 1:14 PM,Adoption,Adoption Center,,
A36080782,Dog,American Blue Heeler,Mix,F,Yes,30.0,Young,Normal,11/11/2019 12:28 PM,Return,Beyond Exchange Period,Behavior Problem,,6/10/2020 12:35 PM,6/10/2020 12:35 PM,Adoption,Adoption Center,,
A36885820,Cat,Domestic Longhair,Mix,M,Yes,38.0,Adult,Normal,3/14/2019 11:23 AM,Return,Beyond Exchange Period,Other,,10/23/2019 4:24 PM,10/23/2019 4:24 PM,Adoption,Adoption Center,,
A37247961,Dog,"Cur, Mountain",American Blue Heeler,F,Yes,24.0,Baby,Normal,10/4/2019 4:47 PM,Return,Beyond Exchange Period,Divorce,,10/4/2019 4:52 PM,10/4/2019 4:52 PM,Adoption,Adoption Center,,
A37247967,Dog,"Cur, Mountain",American Blue Heeler,F,Yes,18.0,Baby,Normal,3/28/2019 10:32 AM,Return,Beyond Exchange Period,Allergies,,5/17/2019 5:29 PM,5/17/2019 5:29 PM,Adoption,Adoption Center,,
A37247967,Dog,"Cur, Mountain",American Blue Heeler,F,Yes,22.0,Adult,Normal,8/2/2019 3:15 PM,Return,Beyond Exchange Period,Time - Not Enough,,8/28/2019 2:34 PM,8/28/2019 2:34 PM,Adoption,Adoption Center,,
