Animal #,Species,Found_Zip_Code,found_lat,found_long
A14223455,Dog,54981,44.367878,-89.098879
A40150933,Dog,54981,44.356045,-89.11787
A40370473,Cat,54981,40.74251,-73.6157113
A40628414,Cat,54981,44.3531242,-89.0898343
A41776770,Cat,54981,44.344615,-89.095337
A41776791,Cat,54981,44.344615,-89.095337
A41803655,Cat,54981,44.312728,-89.153077
A41843562,Cat,54981,44.35159314,-89.08623816
A41905644,Cat,54981,44.360156,-89.084305
A41941675,Cat,54981,44.36556878,-89.08634176
A41960453,Cat,54981,31.932726,-93.610039
A41995916,Cat,54981,44.33231291,-89.1189146
A41998462,Dog,54981,29.8151414,-95.7421781
A42062384,Cat,54981,44.3646,-89.084261
A42069241,Dog,54981,44.35291525,-89.10307438
A42082948,Cat,54981,44.3582549,-89.1031605
A43409708,Cat,54981,44.36117709,-89.09308485
A43458499,Cat,54981,44.362618,-89.160198
A43479828,Cat,54981,44.35263715,-89.08477881
A43479834,Cat,54981,44.35263715,-89.08477881
A40652044,Cat,54981,44.312728,-89.153077
A40802065,Dog,54949,44.45086733,-88.92727909
A40820681,Cat,54981,44.36297321,-89.09311467
A40874220,Cat,54981,44.35235086,-89.0896709
A41033908,Cat,54981,44.34772122,-89.07199702
A41043705,Cat,54981,44.35166068,-89.08505695
A41062040,Cat,54981,44.35166068,-89.08505695
A41073691,Dog,54981,44.345937,-89.080899
A42135633,Cat,54981,44.3522139,-89.0575759
A42146477,Cat,54981,44.356076,-89.08258439
A42210051,Dog,54981,44.36317889,-89.07741524
A42346087,Cat,54981,-30.3394378,28.8049909
A42366431,Cat,54981,44.360156,-89.084305
A42420265,Cat,54981,44.36758114,-89.08604539
A42446599,Cat,54981,44.3600411,-89.09291515
A42446646,Cat,54981,44.35932709,-89.08952809
A42447735,Cat,54983,50.6235375,16.2670673
A42447737,Cat,54983,50.6235375,16.2670673
A42447741,Cat,54983,50.6235375,16.2670673
A42563832,Cat,54981,44.35991757,-89.07603688
A42565914,Dog,54981,44.35743685,-89.11312572
A42601770,Cat,54981,44.352658,-89.081009
A42649924,Cat,54981,32.7282668,-97.8284901
A42672544,Cat,54981,44.35815706,-89.08124934
A42672551,Cat,54981,44.35815706,-89.08124934
A42672560,Cat,54981,44.35815706,-89.08124934
A42672568,Cat,54981,44.35815706,-89.08124934
A42674417,Dog,54981,44.3482615,-89.08547265
A42680258,Cat,54981,32.7282668,-97.8284901
A42718330,Cat,54981,44.34674047,-89.07528122
A42771198,Cat,54961,44.1977554,-89.2178948
A42788915,Cat,54981,44.35901691,-89.08253911
A42833351,Cat,54981,44.35593334,-89.08636257
A42847738,Cat,54981,44.35701237,-89.08274943
A42855841,Cat,54981,44.35407383,-89.08498183
A42855850,Cat,54981,44.35407383,-89.08498183
A42862234,Dog,54981,44.356116,-89.118263
A42905524,Cat,54981,46.6356157,-123.2216871
A42999752,Cat,54981,44.35483409,-89.07906179
A43003855,Cat,54983,44.320653,-88.921239
A41073691,Dog,54981,44.3531242,-89.0898343
A41126197,Cat,54981,44.35166068,-89.08505695
A41170125,Dog,54981,44.344924,-89.067426
A41172071,Cat,54981,44.35465157,-89.08266714
A41172075,Cat,54981,44.35465157,-89.08266714
A41188133,Cat,54981,44.3422472,-89.0747911
A41276028,Cat,54981,44.36317889,-89.07741524
A41294754,Cat,54983,44.32897359,-88.94929694
A41294763,Cat,54983,44.32897359,-88.94929694
A41330577,Cat,54981,44.3256219,-89.110396
A41339947,Cat,54981,44.35827151,-89.07855982
A41409821,Dog,54981,44.34208143,-89.06976584
A41409850,Dog,54981,44.34208143,-89.06976584
A41409920,Dog,54981,44.34208143,-89.06976584
A41409927,Dog,54981,44.34208143,-89.06976584
A41409952,Cat,54981,44.34208143,-89.06976584
A41409961,Cat,54981,44.34208143,-89.06976584
A41410579,Cat,54981,44.35621454,-89.04563863
A41410705,Cat,54981,44.36098676,-89.09095016
A41410736,Cat,54981,44.35990557,-89.08505057
A41594804,Cat,54981,44.36012407,-89.09385309
A43022356,Cat,54981,44.360156,-89.084305
A43029120,Cat,54981,44.36115053,-89.09076558
A43036308,Cat,54981,44.35031071,-89.0740399
A43114332,Cat,54981,44.36117709,-89.09308485
A43114420,Cat,54981,44.36117709,-89.09308485
A43114434,Cat,54981,44.36117709,-89.09308485
A43114447,Cat,54981,44.36117709,-89.09308485
A43143585,Dog,54981,44.35951908,-89.09500797
A43155429,Cat,54981,44.36839054,-89.09562846
A43200391,Cat,54981,44.342612,-89.080127
A43206584,Cat,54981,44.36317889,-89.07741524
A43273314,Cat,54981,44.348282,-89.075183
A43273354,Cat,54981,44.34757026,-89.07505971
A43302796,Cat,54981,44.3514145,-89.0719016
