Animal #,Species,Found_Zip_Code,found_lat,found_long
A38548723,Dog,54981,44.36228933,-89.09060284
A38548723,Dog,54981,44.360147,-89.088948
A38551334,Cat,54981,36.0882422,-115.16149
A38566001,Cat,54981,44.3482615,-89.08547265
A38628581,Cat,54981,44.311998,-89.160258
A38779159,Cat,54981,44.36098676,-89.09095016
A38783586,Cat,54981,44.36280793,-89.0931884
A38803715,Cat,54981,44.36280793,-89.0931884
A38803719,Cat,54981,44.36280793,-89.0931884
A38803735,Cat,54981,44.36280793,-89.0931884
A38830153,Cat,54981,44.36280793,-89.0931884
A38919491,Cat,54981,50.6258903,16.2401769
A39738573,Cat,54981,44.360021,-89.077237
A39744464,Dog,54981,44.35690705,-89.11224321
A39772901,Cat,54981,44.35485272,-89.09295486
A39794811,Cat,54981,44.360156,-89.084305
A39802898,Cat,54981,44.3560436,-89.10723181
A39809408,Cat,54981,44.35485272,-89.09295486
A39852373,Cat,54981,43.2430321,-77.6319475
A39853991,Cat,54981,44.35608015,-89.1001667
A39890295,Cat,54981,44.35594,-89.07482807
A39955341,Cat,54981,44.35792137,-89.0749649
A39972240,Cat,54981,44.36964,-89.098324
A39972244,Cat,54981,44.36964,-89.098324
A36718457,Cat,54983,44.3181119,-88.9341154
A40006280,Cat,54981,44.3539512,-89.103185
A40034460,Dog,54981,39.75849975,-75.01798899
A40089884,Cat,54981,32.7282668,-97.8284901
A40138748,Cat,54983,44.319012,-88.93992277
A40194174,Dog,54981,44.353932,-89.086149
A40194880,Cat,nan,37.05080388,-76.50281604
A40233189,Cat,54981,44.36117709,-89.09308485
A37748603,Cat,54983,44.6802839,-63.5899976
A37748622,Cat,54983,44.6802839,-63.5899976
A37800696,Cat,54981,44.36117709,-89.09308485
A37856460,Dog,54981,48.1451904,11.59270031
A37917209,Cat,54981,44.360021,-89.077237
A37920980,Dog,54981,35.045555,-101.91468
A37945206,Dog,54981,44.3482615,-89.08547265
A37955355,Dog,54981,44.319449,-89.0977594
A37961666,Dog,54981,44.35829194,-89.09458946
A38050022,Dog,54981,52.1047041,-122.0342408
A38083080,Cat,54983,44.32064,-88.927951
A38090083,Dog,54981,44.341044,-89.102174
A38096985,Cat,54981,44.35957082,-89.08130867
A38117262,Rabbit,54983,44.31974,-88.9299463
A38169686,Dog,54981,44.3482615,-89.08547265
A38943735,Cat,54983,44.316348,-88.9307435
A38982417,Cat,54981,50.6258903,16.2401769
A39071705,Cat,54981,44.357362,-89.081034
A39125641,Cat,54981,44.36023169,-89.08916146
A39142822,Cat,54981,44.36117709,-89.09308485
A39165290,Cat,54981,44.35700251,-89.08391184
A39167508,Cat,54981,44.312728,-89.153077
A39178470,Cat,54983,44.318188,-88.94098228
A39190214,Cat,54981,44.312728,-89.153077
A39254202,Dog,54981,33.9279049,-84.3564917
A39254212,Dog,54981,33.9279049,-84.3564917
A39292020,Cat,54983,44.3173564,-88.93439902
A39292028,Cat,54983,44.3173564,-88.93439902
A39292041,Cat,54983,44.3173564,-88.93439902
A39307731,Cat,54981,44.3539512,-89.103185
A39332293,Cat,54981,44.36211086,-89.08964648
A39358144,Cat,54981,44.356045,-89.11787
A39417449,Cat,54981,44.35348042,-89.08001753
A39436765,Cat,54981,44.361116,-89.087574
A40361405,Cat,54981,25.2848564,110.328752
A40435511,Cat,54981,44.3578051,-89.10823851
A38203327,Cat,54981,44.35155811,-89.08026278
A38249920,Cat,54981,44.357078,-89.084893
A38409573,Cat,54945,30.6937815,-88.18044788
A38463042,Cat,54981,44.360021,-89.077237
A39490655,Cat,54962,44.35743685,-89.11312572
A39551333,Cat,54981,44.35827151,-89.07855982
A39616601,Cat,54981,44.35344559,-89.07909524
A39671901,Dog,54981,44.360021,-89.077237
A39677423,Cat,54981,44.35827151,-89.07855982
A14223455,Dog,54981,44.367878,-89.098879
A40150933,Dog,54981,44.356045,-89.11787
A40370473,Cat,54981,40.74251,-73.6157113
A40628414,Cat,54981,44.3531242,-89.0898343
A41776770,Cat,54981,44.344615,-89.095337
A41776791,Cat,54981,44.344615,-89.095337
A41803655,Cat,54981,44.312728,-89.153077
A41843562,Cat,54981,44.35159314,-89.08623816
A41905644,Cat,54981,44.360156,-89.084305
A41941675,Cat,54981,44.36556878,-89.08634176
A41960453,Cat,54981,31.932726,-93.610039
A41995916,Cat,54981,44.33231291,-89.1189146
A41998462,Dog,54981,29.8151414,-95.7421781
A42062384,Cat,54981,44.3646,-89.084261
A42069241,Dog,54981,44.35291525,-89.10307438
A42082948,Cat,54981,44.3582549,-89.1031605
A43409708,Cat,54981,44.36117709,-89.09308485
A43458499,Cat,54981,44.362618,-89.160198
A43479828,Cat,54981,44.35263715,-89.08477881
A43479834,Cat,54981,44.35263715,-89.08477881
A40652044,Cat,54981,44.312728,-89.153077
A40802065,Dog,54949,44.45086733,-88.92727909
A40820681,Cat,54981,44.36297321,-89.09311467
A40874220,Cat,54981,44.35235086,-89.0896709
A41033908,Cat,54981,44.34772122,-89.07199702
A41043705,Cat,54981,44.35166068,-89.08505695
A41062040,Cat,54981,44.35166068,-89.08505695
A41073691,Dog,54981,44.345937,-89.080899
A42135633,Cat,54981,44.3522139,-89.0575759
A42146477,Cat,54981,44.356076,-89.08258439
A42210051,Dog,54981,44.36317889,-89.07741524
A42346087,Cat,54981,-30.3394378,28.8049909
A42366431,Cat,54981,44.360156,-89.084305
A42420265,Cat,54981,44.36758114,-89.08604539
