Animal #,Out City,Out Province,Out Postal Code,adopted_lat,adopted_long
A01455447,Oshkosh,WI,54902,43.97344547,-88.53068741
A04725465,Waupaca,WI,54981,44.3609557,-89.08806783
A31878020,Waupaca,WI,54981,44.36635433,-89.07501544
A31878020,Waupaca,WI,54981,44.36635433,-89.07501544
A31878020,Waupaca,WI,54981,44.36635433,-89.07501544
A44401233,Waupaca,WI,54981,44.322243,-89.019592
A44472843,New London,WI,54961,44.41353148,-88.74211971
A44490268,Wisconsin Rapids,WI,54495,44.39773914,-89.84234259
A44490285,Medford,WI,54451,45.14556732,-90.34382317
A44490295,Rosholt,WI,54473,44.63137987,-89.30619382
A44490306,Menasha,WI,54952,44.20294017,-88.433731
A44501680,Plover,WI,54467,44.4427564,-89.5510468
A44515712,Little Chute,WI,54140,44.28834861,-88.33162231
A44515720,Little Chute,WI,54140,44.28834861,-88.33162231
A44880292,Amherst,WI,54406,44.46212799,-89.27909659
A44880300,Amherst,WI,54406,44.46212799,-89.27909659
A44911355,Shawano,WI,54166,44.77283797,-88.59691104
A44911711,Waupaca,WI,54981,44.35274442,-89.07628574
A44911793,Green Bay,WI,54303,44.52964433,-88.07540967
A44911796,Waupaca,WI,54981,44.35014386,-89.09582557
A44911875,New London,WI,54961,44.387583,-88.73371729
A44916642,Oshkosh,WI,54901,44.02482637,-88.54293667
A44916651,Oshkosh,WI,54901,44.02482637,-88.54293667
A44916665,Wautoma,WI,54982,44.0658029,-89.29566722
A44916674,Oshkosh,WI,54901,44.02482637,-88.54293667
A44916692,Oshkosh,WI,54901,44.02482637,-88.54293667
A44916712,Stevens Point,WI,54481,44.53613054,-89.54876939
A44937207,Appleton,WI,54915,44.2315937,-88.3621346
A44947190,Waupaca,WI,54981,44.35403508,-89.08246198
A44961314,Wild Rose,WI,54984,44.196614,-89.20166
A44961317,Waupaca,WI,54981,44.3697561,-89.09697076
A45006846,Waupaca,WI,54981,44.34644346,-89.07840035
A45029642,Waupaca,WI,54981,44.35792137,-89.0749649
A45050806,Manawa,WI,54949,44.46290971,-88.92008771
A45058447,Middleton,WI,53562,43.09073455,-89.52976059
