,Animal #,Species,Intake_Type,Intake_Subtype,clinic_lat,clinic_long
0,A39730475,Cat,Clinic,Spay,44.360261284360206,-89.09158179622894
1,A39730565,Dog,Clinic,Neuter,44.0623297346629,-88.5457652945472
2,A39730825,Cat,Clinic,Neuter,44.463170777683324,-88.91661807821396
3,A39730842,Cat,Clinic,Neuter,44.463170777683324,-88.91661807821396
4,A39730984,Dog,Clinic,Spay,44.50607905955266,-89.12512638156626
5,A39731041,Dog,Clinic,Neuter,44.46945194736842,-88.92233663157894
6,A39731098,Cat,Clinic,Spay,44.3466204660853,-89.07957926121544
7,A39961216,Cat,Clinic,Neuter,44.35245360606061,-89.077857
8,A39726838,Cat,Clinic,Neuter,44.35245360606061,-89.077857
9,A39726873,Cat,Clinic,Neuter,44.35245360606061,-89.077857
10,A39729475,Cat,Clinic,Spay,44.35212030005224,-89.10369578123493
11,A39729595,Cat,Clinic,Spay,44.35212030005224,-89.10369578123493
0,A40594206,Cat,Clinic,Neuter,44.667278941544296,-88.88254445513952
1,A40594219,Cat,Clinic,Neuter,44.667278941544296,-88.88254445513952
2,A40594354,Dog,Clinic,Spay,44.453719799999995,-89.5442348
3,A40594361,Dog,Clinic,Spay,44.453719799999995,-89.5442348
4,A40594789,Cat,Clinic,Spay,44.48621618875333,-89.54616508063374
5,A40594829,Dog,Clinic,Spay,44.48621618875333,-89.54616508063374
6,A40594921,Dog,Clinic,Spay,44.380614,-88.736733
7,A40595326,Dog,Clinic,Spay,44.03780524489796,-88.53400402040815
8,A40595382,Dog,Clinic,Neuter,44.51865757142857,-89.57305706122447
9,A41819785,Dog,Clinic,Spay,44.39363679591837,-88.75087832653061
10,A41821579,Dog,Clinic,Spay,44.034698,-88.53371
11,A41822147,Dog,Clinic,Neuter,44.667278941544296,-88.88254445513952
12,A41822196,Dog,Clinic,Neuter,44.39358328571429,-88.7497250612245
13,A41822263,Dog,Clinic,Spay,44.39358328571429,-88.7497250612245
14,A41822312,Dog,Clinic,Spay,44.39358328571429,-88.7497250612245
15,A41822460,Dog,Clinic,Neuter,44.2452947,-88.4417066
16,A41822547,Dog,Clinic,Spay,44.3540605307897,-89.09023515660407
17,A43421766,Cat,Clinic,Neuter,44.319707141452106,-88.91698265350217
18,A43421823,Cat,Clinic,Neuter,44.319707141452106,-88.91698265350217
19,A43422024,Cat,Clinic,Neuter,44.44868415555555,-89.28613077777777
20,A43422037,Cat,Clinic,Neuter,44.44868415555555,-89.28613077777777
21,A43422560,Dog,Clinic,Neuter,44.607777777142985,-88.76240679830363
22,A43422661,Cat,Clinic,Neuter,44.36902347472248,-89.09393917906553
23,A43422671,Cat,Clinic,Neuter,44.36902347472248,-89.09393917906553
24,A43422779,Cat,Clinic,Neuter,44.35953424489796,-89.07747785714285
25,A43422793,Cat,Clinic,Neuter,44.35953424489796,-89.07747785714285
26,A43422917,Cat,Clinic,Neuter,44.36791510429424,-89.08515852434219
27,A43422996,Dog,Clinic,Spay,44.36791510429424,-89.08515852434219
28,A42374569,Dog,Clinic,Spay,44.5387553,-89.58368372504152
29,A42724276,Dog,Clinic,Neuter,44.3812157598552,-88.7457351851257
30,A42724405,Cat,Clinic,Spay,44.3812157598552,-88.7457351851257
31,A42724498,Dog,Clinic,Neuter,44.393482,-88.75245
32,A41131476,Cat,Clinic,Neuter,44.03780524489796,-88.53400402040815
33,A41131596,Cat,Clinic,Neuter,44.462436595274646,-88.91730363658901
34,A41131601,Cat,Clinic,Neuter,44.462436595274646,-88.91730363658901
35,A41131791,Cat,Clinic,Spay,44.667278941544296,-88.88254445513952
36,A41131930,Cat,Clinic,Spay,44.07491201026362,-89.3004538309058
0,A44947190,Cat,Clinic,Spay,44.35403508163265,-89.08246197959183
1,A42482170,Cat,Clinic,Spay,44.28433,-89.097346
2,A45397943,Dog,Clinic,Neuter,44.321530122448976,-88.92580859183674
3,A45398771,Dog,Clinic,Spay,44.378661375185814,-88.7392544287011
4,A45398892,Dog,Clinic,Spay,44.352535671034424,-89.07139134600261
5,A45398980,Dog,Clinic,Neuter,44.4582402,-88.924098
6,A45620385,Cat,Clinic,Neuter,44.13273048566089,-89.51595381201899
7,A45954701,Cat,Clinic,Neuter,44.413536285714294,-88.74658928571428
8,A44112969,Cat,Clinic,Neuter,44.28433,-89.097346
9,A44112974,Cat,Clinic,Neuter,44.28433,-89.097346
10,A45956327,Cat,Clinic,Neuter,44.21465818181818,-89.4921520909091
11,A45956334,Cat,Clinic,Neuter,44.21465818181818,-89.4921520909091
12,A45956939,Cat,Clinic,Spay,44.32101075868182,-88.93780695402991
13,A45957039,Cat,Clinic,Neuter,44.32101075868182,-88.93780695402991
14,A45957693,Cat,Clinic,Neuter,44.262632,-88.88081550885641
15,A45957758,Cat,Clinic,Neuter,44.262632,-88.88081550885641
16,A46004452,Cat,Clinic,Spay,44.5387553,-89.58368372504152
17,A46004468,Cat,Clinic,Neuter,44.5387553,-89.58368372504152
