Animal #,Found_Address,Found_Zip_Code,clean_found_address,found_geocode,found_lat,found_long
A44405329,Berlin St.,54981,Berlin St.  54981,"Berlin Street, Waupaca, Town of Waupaca, Waupaca County, Wisconsin, 54981, United States",44.345937,-89.080899
A44405329,Lake St,54981,Lake St  54981,"Lake Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.352524,-89.0790082
A44449986,Near Fleet Farm,54904,Near Fleet Farm  54904,"Fleet Farm, North Washburn Street, Oshkosh, Winnebago County, Wisconsin, 54904, United States",44.0199262,-88.5842190130185
A44451145,604 Lake St,54981,604 Lake St  54981,"604, Lake Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35245687878788,-89.07666900000001
A44486703,709 E Alfred St,54981,709 E Alfred St  54981,"East, Matatiele Ward 19, Matatiele, Matatiele Local Municipality, Alfred Nzo District Municipality, Eastern Cape, South Africa",-30.346414,28.823161
A44911711,421 Van St,54981,421 Van St  54981,"421, Van Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35424189619437,-89.07808211934855
A44961075,955 w Fulton,54981,955 w Fulton  54981,"Pick 'n Save, 955, West Fulton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35604360000001,-89.10723181060278
A45010228,Park St & 7th St,54981,Park St & 7th St  54981,"7th Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.348856,-89.078143
A46356326,School St at 8th,54981,School St at 8th  54981,"8, School Street, Montage at Danforth Green, Saxonville, Pinefield, Framingham, Middlesex County, Massachusetts, 01701, United States",42.321449214285714,-71.39625050000001
A46356334,School St at 8th,54981,School St at 8th  54981,"8, School Street, Montage at Danforth Green, Saxonville, Pinefield, Framingham, Middlesex County, Massachusetts, 01701, United States",42.321449214285714,-71.39625050000001
A43155429,226 w. Fulton,54981,226 w. Fulton  54981,"226, West Fulton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35802153108577,-89.08656957015265
A43595760,732 E Fulton,54981,732 E Fulton  54981,"732, West Fulton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.357545762341445,-89.10193886739849
A43595760,N Oborn St,54981,N Oborn St  54981,"Oborn Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3589913,-89.0747417
A43640255,708 Leroy Butler dr,54981,708 Leroy Butler dr  54981,"Leroy Lane, Summit Township, Butler County, Pennsylvania, 16039, United States",40.8517518,-79.7852784
A43703260,315 N Main St,54981,315 N Main St  54981,"315, North Main Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35990557142857,-89.08505057142858
A45135589,704 Ware St,54981,704 Ware St  54981,"Ware Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3590185,-89.0668744
A45141634,502 Waupaca St,54981,502 Waupaca St  54981,"502, Waupaca Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35954173584361,-89.07864186777742
A45162543,Jefferson St,54981,Jefferson St  54981,"Jefferson Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3551978,-89.0836725
A45210565,312 s. Western Ave,54981,312 s. Western Ave  54981,"312, South Western Avenue, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35212030005224,-89.10369578123493
A45271148,614 School St,54981,614 School St  54981,"614, School Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35426555555556,-89.07882922222223
A45271148,School St/E Lake St,54981,School St/E Lake St  54981,"School Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3534455,-89.0775357
A45300064,301 Oak St,54981,301 Oak St  54981,"Oak Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.360021,-89.077237
A45304217,301 Oak St,54981,301 Oak St  54981,"Oak Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.360021,-89.077237
A45344187,600 Oak St,54981,600 Oak St  54981,"600, Oak Street, Waupaca, Town of Waupaca, Waupaca County, Wisconsin, 54981, United States",44.36317888957501,-89.0774152354929
