Species,Primary Breed,Secondary Breed,Gender,Altered,Age in Months Intake,Age Group,Intake Condition,Intake Date,Intake Type,Intake Subtype,Reason,Agency Name,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome Reason,Outcome_Agency_Name
0,Domestic Shorthair,Mix,0,1,155.0,Senior,Normal,9/7/2019 2:35 PM,Owner/Guardian Surrender,Returned Adoption,Health Issues/Human,,12/27/2019 4:30 PM,12/27/2019 4:30 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,144.0,Baby,Normal,8/16/2019 4:01 PM,Return,Beyond Exchange Period,Moving,,2/16/2020 12:10 PM,2/16/2020 12:10 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,138.0,Baby,Normal,12/5/2019 2:30 PM,Return,Beyond Exchange Period,Death of Owner,,12/5/2019 2:32 PM,12/5/2019 2:32 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,122.0,Adult,Normal,2/28/2019 12:35 PM,Return,Within Exchange Period,Behavior Problem,,10/20/2019 12:32 PM,10/20/2019 12:32 PM,Transfer Out,For Adoption,For Adoption,Portage County Humane Society
1,"Retriever, Labrador",Mix,0,1,111.0,Baby,Normal,1/5/2019 12:25 PM,Clinic,Microchip,,,1/5/2019 12:27 PM,1/5/2019 12:27 PM,Clinic Out,Microchip,,
1,Pug,Mix,1,1,99.0,Baby,Normal,12/10/2019 1:58 PM,Stray,ACO / Police Drop Off,,,12/11/2019 2:19 PM,12/11/2019 2:19 PM,Return to Owner/Guardian,Stray Reclaim,,
0,Domestic Medium Hair,Mix,1,1,92.0,Adult,Normal,8/8/2019 1:11 PM,Return,Within Exchange Period,Allergies,,4/2/2020 10:39 AM,4/2/2020 10:39 AM,Adoption,Adoption Center,,
1,Miniature Pinscher,"Spaniel, American Cocker",1,1,94.0,Baby,Normal,11/10/2019 10:54 AM,Return,Beyond Exchange Period,Moving,,1/8/2020 4:48 PM,1/8/2020 4:48 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,70.0,Young,Normal,4/5/2019 1:51 PM,Return,Beyond Exchange Period,Time - Not Enough,,6/15/2019 1:39 PM,,Died,Unknown,,
0,Domestic Shorthair,Mix,1,1,86.0,Adult,Normal,3/27/2019 3:20 PM,Return,Beyond Exchange Period,Other,,3/27/2019 3:24 PM,3/27/2019 3:24 PM,Adoption,Adoption Center,,
1,German Shepherd,American Blue Heeler,1,1,65.0,Adult,Normal,3/14/2019 11:28 AM,Return,Beyond Exchange Period,Aggression/Bite,,4/27/2019 4:45 PM,4/27/2019 4:45 PM,Adoption,Adoption Center,,
1,German Shepherd,American Blue Heeler,1,1,69.0,Adult,Normal,7/5/2019 3:53 PM,Return,Beyond Exchange Period,Time - Not Enough,,12/16/2019 1:01 PM,12/16/2019 1:01 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,56.0,Baby,Normal,1/25/2019 5:47 PM,Return,Beyond Exchange Period,Moving,,3/11/2019 2:10 PM,3/11/2019 2:10 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,69.0,Young,Normal,11/4/2019 12:13 PM,Owner/Guardian Surrender,For Adoption,Litterbox Issues,,12/4/2020 3:05 PM,12/4/2020 3:05 PM,Return to Owner/Guardian,Owner Reclaim,,
0,Domestic Shorthair,Mix,0,1,53.0,Adult,Normal,10/24/2019 2:54 PM,Clinic,Vaccinations,,,10/24/2019 2:59 PM,10/24/2019 2:59 PM,Clinic Out,Vaccinations,,
0,Domestic Shorthair,Mix,0,1,53.0,Adult,Normal,10/24/2019 3:01 PM,Clinic,Vaccinations,,,10/24/2019 3:08 PM,10/24/2019 3:08 PM,Clinic Out,Vaccinations,,
0,Domestic Shorthair,Mix,1,1,49.0,Adult,Normal,4/3/2019 5:11 PM,Return,Beyond Exchange Period,Behavior Problem,,5/22/2019 2:44 PM,5/22/2019 2:44 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,51.0,Adult,Normal,5/29/2019 5:52 PM,Return,Within Exchange Period,Other,,8/16/2019 6:05 PM,8/16/2019 6:05 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,50.0,Young,Normal,11/14/2019 11:51 AM,Return,Beyond Exchange Period,Other,,12/4/2019 6:01 PM,12/4/2019 6:01 PM,Return to Owner/Guardian,Owner Reclaim,,
0,Domestic Medium Hair,Mix,1,1,50.0,Young,Normal,11/14/2019 11:51 AM,Return,Beyond Exchange Period,Other,,12/4/2019 6:49 PM,12/4/2019 6:49 PM,Return to Owner/Guardian,Owner Reclaim,,
1,Lhasa Apso,Mix,1,1,100.0,Adult,Normal,3/15/2019 10:10 AM,Return,Beyond Exchange Period,Behavior Problem,,6/26/2020 9:00 AM,6/26/2020 9:00 AM,Adoption,Adoption Center,,
1,American Blue Heeler,"Terrier, Rat",1,1,29.0,Baby,Normal,5/15/2019 6:00 PM,Return,Beyond Exchange Period,Behavior Problem,,5/15/2019 10:01 PM,,Euthanasia,Temperment,,
1,Maltese,Mix,0,1,82.0,Adult,Normal,2/8/2019 7:34 PM,Return,Beyond Exchange Period,Other,,2/8/2019 7:36 PM,2/8/2019 7:36 PM,Return to Owner/Guardian,Owner Reclaim,,
1,American Blue Heeler,Mix,0,1,26.0,Young,Normal,6/20/2019 1:47 PM,Return,Beyond Exchange Period,Other,,8/5/2019 1:14 PM,8/5/2019 1:14 PM,Adoption,Adoption Center,,
1,American Blue Heeler,Mix,0,1,30.0,Young,Normal,11/11/2019 12:28 PM,Return,Beyond Exchange Period,Behavior Problem,,6/10/2020 12:35 PM,6/10/2020 12:35 PM,Adoption,Adoption Center,,
0,Domestic Longhair,Mix,1,1,38.0,Adult,Normal,3/14/2019 11:23 AM,Return,Beyond Exchange Period,Other,,10/23/2019 4:24 PM,10/23/2019 4:24 PM,Adoption,Adoption Center,,
1,"Cur, Mountain",American Blue Heeler,0,1,24.0,Baby,Normal,10/4/2019 4:47 PM,Return,Beyond Exchange Period,Divorce,,10/4/2019 4:52 PM,10/4/2019 4:52 PM,Adoption,Adoption Center,,
1,"Cur, Mountain",American Blue Heeler,0,1,18.0,Baby,Normal,3/28/2019 10:32 AM,Return,Beyond Exchange Period,Allergies,,5/17/2019 5:29 PM,5/17/2019 5:29 PM,Adoption,Adoption Center,,
